cell_id,dataset,condition,realization,order,checkpoint,endpoint,observation
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,LS_terminated,"{""evaluated_value"":0.98,""numerator"":49.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":0.98}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,locality,"{""expected_n"":50,""preserved_fraction"":1.0,""preserved_n"":50,""preserved_terminated_fraction"":0.98,""preserved_terminated_n"":49,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":1,""reference_truncated_n"":1,""scored_n"":50,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":1,""unavailable_n"":0}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,unseen_false_fire,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09,""wilson_evaluated"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631},""wilson_full_inventory"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631}}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,unseen_answer_changed,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,LS_terminated,"{""evaluated_value"":0.98,""numerator"":49.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":0.98}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,locality,"{""expected_n"":50,""preserved_fraction"":1.0,""preserved_n"":50,""preserved_terminated_fraction"":0.98,""preserved_terminated_n"":49,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":1,""reference_truncated_n"":1,""scored_n"":50,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":1,""unavailable_n"":0}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,unseen_false_fire,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09,""wilson_evaluated"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631},""wilson_full_inventory"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631}}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,unseen_answer_changed,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,LS_terminated,"{""evaluated_value"":0.98,""numerator"":49.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":0.98}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,locality,"{""expected_n"":50,""preserved_fraction"":1.0,""preserved_n"":50,""preserved_terminated_fraction"":0.98,""preserved_terminated_n"":49,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":1,""reference_truncated_n"":1,""scored_n"":50,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":1,""unavailable_n"":0}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,unseen_false_fire,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09,""wilson_evaluated"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631},""wilson_full_inventory"":{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.04807254000256516,""upper"":0.1622621285271631}}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,unseen_answer_changed,"{""evaluated_value"":0.09,""numerator"":9.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.09}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,near_miss,"{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,near_miss_bounded,"{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,near_miss_terminated,"{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,revision_latest,"{""evaluated_value"":0.98,""numerator"":49.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":0.98}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,revision_semantic,"{""evaluated_value"":0.98,""numerator"":49.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":0.98}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,old_record_retired,"{""evaluated_value"":1.0,""numerator"":50.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":1.0}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,new_record_active,"{""evaluated_value"":1.0,""numerator"":50.0,""planned"":50,""scored"":50,""status"":""complete"",""status_counts"":{""ok"":50},""value"":1.0}"
